generation,learning_rate,batch_size,num_epoch,optimizer,fitness_value,accuracy,precision,recall,f1,evaluation
7.250,0.00273,2,2,2,0.14583059147425034,0.8115117014547755,0.6819526627218935,0.8474264705882353,0.7557377049180327,0.7823276840083238
7.375,0.00282,2,3,1,0.14417230505304499,0.8219481340923466,0.7164056059356966,0.7987132352941176,0.7553237722729248,0.7745525447783161
7.500,0.00111,2,1,2,0.14140243334168087,0.7881087919038583,0.6488603988603988,0.8373161764705882,0.731139646869984,0.7615151773936759
7.625,0.00623,1,2,2,0.1461229095431713,0.8165717900063251,0.6924242424242424,0.8400735294117647,0.7591362126245847,0.783695931085044
7.750,0.00309,2,1,3,0.12475878802290888,0.7760910815939279,0.6903807615230461,0.6332720588235294,0.6605944391179289,0.6818239093224399
7.875,0.00648,1,1,2,0.14605995286656825,0.8330170777988615,0.7389078498293515,0.7959558823529411,0.7663716814159293,0.7834013100588688
8.000,0.0067,2,2,2,0.14452173532400187,0.7900063251106895,0.636774193548387,0.9071691176470588,0.7482941622441243,0.7890983357052499
8.125,0.00648,2,1,2,0.1401810768202958,0.734977862112587,0.5698324022346368,0.9375,0.7088255733148019,0.7683119132046403
8.250,0.00381,2,1,2,0.14458657326876326,0.8083491461100569,0.6697183098591549,0.8740808823529411,0.7583732057416269,0.7894076347315391
8.375,0.00381,2,2,2,0.1426217935377756,0.8289057558507273,0.7304128053917439,0.796875,0.7621978021978023,0.7800193830572558
8.500,0.00381,1,1,2,0.14476047774569498,0.8143580012650221,0.6816533720087019,0.8639705882352942,0.7620591811917308,0.7902370451619325
8.625,0.00469,1,1,2,0.14346807643357562,0.8086654016445288,0.6743682310469314,0.8584558823529411,0.7553578649413668,0.7840671082541553
8.750,0.0099,1,1,2,0.14336344792138242,0.8228969006957622,0.7085308056872038,0.8244485294117647,0.7621070518266779,0.783567000364968
8.875,0.00192,1,1,2,0.13937965404214087,0.7998102466793169,0.6706676669167292,0.8216911764705882,0.7385377942998761,0.7644567621684832
9.000,0.00381,1,1,2,0.1463124742584372,0.8143580012650221,0.6816533720087019,0.8639705882352942,0.7620591811917308,0.7902370451619325
9.125,0.00186,1,3,2,0.14416981362127554,0.8127767235926628,0.6867469879518072,0.8382352941176471,0.7549668874172185,0.7801226728546062
9.250,0.00767,1,3,1,0.13509849165798896,0.6426312460468058,0.49025069637883,0.9705882352941176,0.6514497223935841,0.7368786988243046
9.375,0.00707,2,3,2,0.14332389759548209,0.767235926628716,0.6079754601226994,0.9108455882352942,0.7292126563649743,0.7761191110745704
9.500,0.00469,1,1,2,0.14500446182626722,0.8086654016445288,0.6743682310469314,0.8584558823529411,0.7553578649413668,0.7840671082541553
9.625,0.00428,2,3,2,0.1433207865181668,0.8096141682479443,0.6829819277108434,0.8336397058823529,0.7508278145695364,0.7761043759954429
9.750,0.00393,2,1,2,0.1408053359160605,0.7713472485768501,0.6187378009108653,0.8740808823529411,0.7245714285714285,0.7641640770929964
9.875,0.0099,1,1,2,0.14489857087516064,0.8228969006957622,0.7085308056872038,0.8244485294117647,0.7621070518266779,0.783567000364968
10.000,0.00171,1,1,3,0.15133919695953468,0.7947501581277673,0.6488135593220339,0.8795955882352942,0.7467811158798283,0.7818527920941477
10.125,0.0099,1,1,2,0.15172135010414758,0.8228969006957622,0.7085308056872038,0.8244485294117647,0.7621070518266779,0.783567000364968
10.250,0.00546,1,1,3,0.1172555863257634,0.3462998102466793,0.3413290113452188,0.9678308823529412,0.5046728971962617,0.624249013078986
10.375,0.00469,1,2,2,0.1506270653879697,0.7915876027830487,0.6450304259634888,0.8768382352941176,0.7432800934943513,0.7786553755261838
10.500,0.00186,1,2,2,0.15008969953968992,0.7703984819734345,0.6124223602484472,0.90625,0.7309117865085248,0.7762400224816435
10.625,0.0099,1,3,3,0.1191281095616295,0.34187223276407336,0.34213036565977745,0.9889705882352942,0.5083864871249706,0.6331568392396192
10.750,0.00381,1,1,2,0.1532107385816466,0.8143580012650221,0.6816533720087019,0.8639705882352942,0.7620591811917308,0.7902370451619325
10.875,0.00186,1,3,2,0.1509537537995866,0.8127767235926628,0.6867469879518072,0.8382352941176471,0.7549668874172185,0.7801226728546062
